,geometry,value
0,"LINESTRING (-122.2917995 37.8030786, -122.2920798 37.8029592, -122.2924373 37.8028397, -122.2927824 37.8027504, -122.2933541 37.8026443, -122.2949638 37.8023825, -122.2953218 37.8023286, -122.2957231 37.8022735, -122.2963007 37.8022366, -122.2967139 37.8022293, -122.2971244 37.8022322, -122.2974678 37.8022587, -122.2975579 37.8022654, -122.297694 37.8022802, -122.2978763 37.8022482)",1
1,"LINESTRING (-122.2993116 37.8063602, -122.2989405 37.8073597)",1
2,"LINESTRING (-122.2993116 37.8063602, -122.2993516 37.8062523)",1
3,"LINESTRING (-122.2993116 37.8063602, -122.300848 37.8066956)",1
4,"LINESTRING (-122.3008476 37.8223255, -122.3006592 37.822492, -122.300467 37.8226804)",1
5,"LINESTRING (-122.3008476 37.8223255, -122.3013111 37.8218633, -122.3016915 37.8215248, -122.3021097 37.8211432, -122.3022387 37.8210304)",1
6,"LINESTRING (-122.3012473 37.8233612, -122.3013283 37.8233898, -122.3015217 37.8234975, -122.3020541 37.8237296, -122.3031644 37.8241406, -122.3039101 37.8244245, -122.3048732 37.8248215)",1
7,"LINESTRING (-122.3012473 37.8233612, -122.3013349 37.8234317, -122.3015551 37.8235643, -122.3018153 37.8237063, -122.3020647 37.823827, -122.3030914 37.8242937, -122.3032154 37.8243673, -122.30332 37.8244626, -122.3033817 37.8245643, -122.3034112 37.8246766, -122.3034112 37.8247826, -122.3033844 37.8248949, -122.3033215460784 37.825)",1
8,"LINESTRING (-122.3000259 37.8235335, -122.2999524 37.823813, -122.299964 37.8239303, -122.2999576 37.824038, -122.2999512 37.8240694, -122.2999402 37.8241135, -122.299881 37.8243457, -122.2999406 37.8244449)",1
9,"LINESTRING (-122.3000259 37.8235335, -122.3000428 37.8233569, -122.3001058 37.8232014, -122.3002664 37.8229478, -122.300367 37.8227971)",1
10,"LINESTRING (-122.2999406 37.8244449, -122.2996894 37.8244096, -122.2995319 37.8243659, -122.2990082 37.8241321, -122.2988038 37.8240632, -122.2986823 37.8240266, -122.2980225 37.8238592, -122.2967195 37.8235085, -122.2963679 37.8234148)",1
11,"LINESTRING (-122.2999406 37.8244449, -122.3001514 37.8244685, -122.3002578 37.8244701, -122.3005048 37.8244584, -122.3009774 37.8244029, -122.3012818 37.8244062, -122.3015791 37.8244164, -122.3019358 37.8244292, -122.3023006 37.824427, -122.3026466 37.8244059, -122.3029926 37.8243677, -122.3033729 37.8243142, -122.3038912 37.8242434)",1
12,"LINESTRING (-122.2999406 37.8244449, -122.3000258 37.8243592, -122.3000797 37.8241326, -122.3000899 37.8240884, -122.3000981 37.8240455, -122.300107 37.8239259, -122.3000985 37.8238017, -122.3000259 37.8235335)",1
13,"LINESTRING (-122.2980946 37.8134325, -122.2975677 37.8140906)",1
14,"LINESTRING (-122.3018434 37.8090325, -122.3019373 37.8090791, -122.3019822 37.8091019, -122.3020171 37.8091337, -122.3020345 37.8091739)",1
15,"LINESTRING (-122.302719 37.8071905, -122.3026449 37.8071522, -122.3025247 37.8070776, -122.3023871 37.807003)",1
16,"LINESTRING (-122.302719 37.8071905, -122.3026241 37.8070856, -122.3025728 37.8069987, -122.3025481 37.8069259, -122.3024975 37.8067122)",1
17,"LINESTRING (-122.2803767 37.8151605, -122.2806421 37.8152073)",1
18,"LINESTRING (-122.2803767 37.8151605, -122.2800345 37.8161099)",1
19,"LINESTRING (-122.2803767 37.8151605, -122.28 37.81507577189032)",1
20,"LINESTRING (-122.2800345 37.8161099, -122.2801245 37.8161306)",1
21,"LINESTRING (-122.2800345 37.8161099, -122.28 37.81610193964708)",1
22,"LINESTRING (-122.2800345 37.8161099, -122.2803767 37.8151605)",1
23,"LINESTRING (-122.2806421 37.8152073, -122.2807575 37.8148843)",1
24,"LINESTRING (-122.2806421 37.8152073, -122.2803767 37.8151605)",1
25,"LINESTRING (-122.2806421 37.8152073, -122.2804498 37.8157453, -122.2802046 37.8164608)",1
26,"LINESTRING (-122.2801245 37.8161306, -122.2800345 37.8161099)",1
27,"LINESTRING (-122.2807652 37.7961692, -122.2804383 37.7966834)",1
28,"LINESTRING (-122.28 37.81507577189032, -122.2803767 37.8151605)",1
29,"LINESTRING (-122.28 37.79749063005027, -122.2811278 37.7979361)",1
30,"LINESTRING (-122.28 37.7973989123068, -122.2803466 37.7968434)",1
31,"LINESTRING (-122.28 37.81610193964708, -122.2800345 37.8161099)",1
32,"LINESTRING (-122.28 37.79920911954023, -122.2802695 37.7993163)",1
33,"LINESTRING (-122.31 37.8005992309624, -122.3073529 37.799736, -122.3069789 37.799614, -122.3065306 37.7994678)",1
34,"LINESTRING (-122.28 37.81358583962901, -122.2801103 37.8136063)",1
35,"LINESTRING (-122.309234491601 37.825, -122.3093711 37.8249902, -122.31 37.82496736585575)",1
36,"LINESTRING (-122.3064885263109 37.825, -122.3065245 37.8249927, -122.3070154 37.8249144, -122.307407 37.8248656, -122.3094401 37.8246559, -122.3099443 37.8246156, -122.31 37.82461268675384)",1
37,"LINESTRING (-122.3081639285714 37.825, -122.3082619 37.8249906, -122.3088296 37.8249438, -122.3093638 37.8249055, -122.31 37.82488242739443)",1
38,"LINESTRING (-122.2850051 37.8001218, -122.2850379 37.8000321, -122.2855195 37.798716)",1
39,"LINESTRING (-122.2850051 37.8001218, -122.2840587 37.7999097, -122.2839271 37.7998762)",1
40,"LINESTRING (-122.2850051 37.8001218, -122.2850271 37.8001269, -122.2852488 37.800178, -122.2855204 37.8002406, -122.2860313 37.8003583)",1
41,"LINESTRING (-122.289143 37.8010704, -122.2892716 37.8011034)",1
42,"LINESTRING (-122.289143 37.8010704, -122.2890963 37.8010596, -122.2881349 37.8008379)",1
